
vinc,vict|胜，征服
detectable,dɪ'tɛktəbl,adj. 可发现的；可察觉的；可探测出的
detecting,dɪ'tektɪŋ,n. 探测；检定；检波 动词detect的现在分词形式.
detected,dɪ'tektɪd,adj. 检测到的 动词detect的过去式和过去分词.
undetected,ˌʌndɪ'tektɪd,adj. 未被发现的；未被觉察的
undetectable,ˌʌndɪ'tektəbl,adj. 觉察不到的；发现不了的
detectability,dɪtektə'bɪlɪtɪ,n. 探测能力(觉察录敏度；可检测性)
detectaphone,dɪ'tektəfəʊn,n. 密谈收听器；偷听器；侦探用电话机
photodetector,fəʊtəʊdɪ'tektə,n. 光电探测器
lie-detector,'laɪdɪt'ektər,n. 测谎器
protege,'prəʊteʒeɪ,n. 门生；被保护者
protegee,p'rəʊteʒeɪ,n. 女门徒
tegmen,'tegmən,n. 外皮；被覆物

soph|智慧
philosophy,fə'lɒsəfi,n. 哲学；哲理
philosophe,fɪ'lɒsəfiː,n. 哲学家；菲洛索夫
philosopher,fə'lɒsəfə(r),n. 哲学家；思想家；达观者
philosophic,ˌfɪlə'sɒfɪk,adj. 哲学的；哲学家的；达观的
philosophical,ˌfɪlə'sɒfɪkl,adj. 哲学的；达观的
unphilosophical,'ʌnfɪlə'sɒfɪkəl,adj. 非哲学的；缺乏哲理的
philosophically,ˌfɪlə'sɒfɪkli,adv. 哲学上；冷静地，豁达地，处之泰然地
philosophize,fə'lɒsəfaɪz,v. 从哲学观点思考；从哲学上来看；思索
philosophizing,fə'lɒsəfaɪzɪŋ,哲学思维
philosopher-king,fɪ'lɒsəfə-kɪŋ,n .哲学王；哲君；哲学家王；哲学家国王
sophism,'sɒfɪzəm,n. 诡辩
sophist,'sɒfɪst,n. 诡辩家 Sophist:. n. （古希腊的）诡辩学家
sophisticate,sə'fɪstɪkeɪt,n. 久经世故的人 vt. 玩弄诡辩；掺合；弄复杂
sophistication,səˌfɪstɪ'keɪʃn,n. 老练；精明；复杂；精密；有教养；诡辩；强词夺理
sophisticated,sə'fɪstɪkeɪtɪd,adj. 老练的；精密的；复杂的；久经世故的
more-sophisticated,mɔː-sə'fɪstɪkeɪtɪd,adj .更复杂的；更诡辩的
unsophisticated,ˌʌnsə'fɪstɪkeɪtɪd,adj. 不谙世故的；不复杂的
sophistry,'sɒfɪstri,n. 诡辩
pansophy,'pænsəfɪ,博识, 万事皆知, 大智
pansophic,‘pᴂnsəfik,adj. 全知的；有广泛知识的
sophomore,'sɒfəmɔː(r),n. （北美）大学（或中学）二年级学生 adj. 第二年的
sophomoric,ˌsɒfə'mɒrɪk,adj. 一知半解的；（大学）二年级学生的

quest,quis(t),quir,quer|寻问，求
quest,kwest,n. 探索；寻求 v. 寻找；搜索
question,'kwestʃən,n. 问题；疑问 v. 询问；怀疑
questioned,'kwestʃən,n. 问题；疑问 v. 询问；怀疑
unquestioned,ʌn'kwestʃənd,adj. 无可争议的
questioning,'kwestʃənɪŋ,n. 质问 adj. 疑问的 动词question的现在分词形式.
unquestioning,ʌn'kwestʃənɪŋ,adj. 无条件的；不犹豫的；绝对的
unquestioningly,ʌn'kwestʃənɪŋ,adj. 无条件的；不犹豫的；绝对的
questioningly,'kwestʃənɪŋli,adv. 质问地；疑惑地；诧异地
questioner,'kwestʃənə(r),n. 质问者；发问者
questionnaire,ˌkwestʃə'neə(r),n. 调查表；问卷
questionable,'kwestʃənəbl,adj. 可疑的；可置疑的
questionably,'kwestʃənəbli,adv. 可疑的(有问题的；不可靠的；引起争论的)
unquestionable,ʌn'kwestʃənəbl,adj. 无疑问的；确实的；无可非议的
unquestionably,ʌn'kwestʃənəbli,adv. 当然地；无可非议地
bequest,bɪ'kwest,n. 遗产；遗赠物
self-questioning,'self'kwestʃənɪŋ,n. 反省
question-and-answer,k'westʃən'ænd'ɑːnsər,n. 问答
request,rɪ'kwest,n. 请求；要求 vt. 请求；要求
requested,rɪ'kwestɪd,adj. 被请求的；必要的 动词request的过去式和过去分词.
requester,rɪ'kwestər,n. 请求者；祈求者
inquest,'ɪŋkwest,n. (死因)审讯；验尸陪审团；查询
require,rɪ'kwaɪə(r),v. 要求；需要；命令；规定
requirement,rɪ'kwaɪəmənt,n. 必要条件；要求
required,rɪ'kwaɪəd,adj. 必需的
inquire,ɪn'kwaɪə(r),vt. 询问；查究 vi. 询问；查究
inquirer,ɪn'kwaɪərə,n. 寻问者；探究者；调查者
inquiry,ɪn'kwaɪərɪ,n. 调查；询问；打听；查问 =enquiry(英).
inquiring,ɪn'kwaɪərɪŋ,adj. 寻问的；打听的；爱追根究底的 动词inquire的现在分词.
inquiringly,ɪnk'waɪərɪŋlɪ,adv. 诧异地 怀疑地.
inquiry-based,ɪn'kwaɪrɪ-beɪst,adj.探索式的；基于探索的；探究式的
inquisition,ˌɪnkwɪ'zɪʃn,n. 调查；审查；(罗马天主教的)宗教法庭
inquisitor,ɪn'kwɪzɪtə(r),n. 询问者；审问者；检察官
inquisitorial,ɪnˌkwɪzə'tɔːriəl,adj. 审判官的；严格审问的；好询问的
inquisitive,ɪn'kwɪzətɪv,adj. 好奇的；爱打听的；求知欲强的
inquisitiveness,ɪn'kwɪzətɪvnəs,求知欲,好奇
inquisitively,ɪn'kwɪzətɪvli,adv. 好问地
acquire,ə'kwaɪə(r),vt. 获得；学到；取得
acquirer,ə'kwaɪərə,n. (某公司的)收购者
acquired,ə'kwaɪəd,adj. 已取得的；已获得的；已成习惯的 动词acquire的过去式和过去分词.
reacquire,ˌrɪə'kwaɪə,vt. 再次获取
hospital-acquired,'hɒspɪt(ə)l-ə'kwaɪəd,adj.医院获得性
acquisition,ˌækwɪ'zɪʃn,n. 获得；所获之物；采集
acquisitive,ə'kwɪzətɪv,adj. 想获得的；贪得无厌的；可学得的
acquisitiveness,ə'kwɪzətɪvnəs,n. 可得到；想得到；能够获得
data-acquisition,'deɪtəækwɪz'ɪʃn,数据采集
mergers-and-acquisitions,mɝdʒɚ-ænd-,ækwɪ'zɪʃ(ə)ns,n .企业并购；兼并与收购
requisite,'rekwɪzɪt,adj. 必要的；需要的 n. 必需品
requisition,ˌrekwɪ'zɪʃn,n. 请求；征用 v. 要求；征用
prerequisite,ˌpriː'rekwəzɪt,n. 先决条件；前提 adj. 作为前提的；必备的
exquisite,ɪk'skwɪzɪt,adj. 精挑细选的；精致的；细腻的；强烈的 n. 过分在意外表着装的人
exquisitely,ɪk'skwɪzɪtlɪ,adv. 精巧地；优美地；敏锐地
conquer,'kɒŋkə(r),vt. 征服；克服；战胜 vi. 得胜
conqueror,'kɒŋkərə,n. 征服者；胜利者
conquering,'kɒŋkə(r),vt. 征服；克服；战胜 vi. 得胜
conquered,'kɒŋkə(r),vt. 征服；克服；战胜 vi. 得胜
unconquered,ʌn'kɒŋkəd,adj. 未被征服(或击败、攻取)的；未克服的
unconquerable,ʌn'kɒŋkərəbl,adj. 不可征服的；克服不了的；压抑不住的
reconquer,ˌriː'kɒŋkə(r),v. 再征服；夺回
conquest,'kɒŋkwest,n. 征服；占领地；战利品；俘虏
preconquest,'priː'kɒŋkwest,adj. 诺曼人征服英国前的；被征服以前的
query,'kwɪəri,n. 疑问；质问；疑问号 vt. 质问；对 ... 表示怀疑
enquiry,ɪn'kwaɪəri,n. (=inquiry) 询问
enquire,ɪn'kwaɪə(r),v. 询问；调查
perquisite,'pɜːkwɪzɪt,n. 额外补贴；临时津贴
disquisition,ˌdɪskwɪ'zɪʃn,n. 专题论文；学术演讲；研究
conquistador,kɒn'kwɪstədɔː(r),n. 西班牙征服者；征服者

dom(o),domat(o),domin|屋，统治
dominate,'dɒmɪneɪt,v. 支配；控制；统治；占优势；俯视；高耸于
domination,ˌdɒmɪ'neɪʃn,n. 支配；控制；管辖 （复数）dominations:[宗]主天使.
dominator,'dɒmɪneɪtə,n. 支配者；统治者；支配力
dominated,'dɒmɪneɪtɪd,adj. 受控的 动词dominate的过去式和过去分词.
dominating,'dɒmɪneɪtɪŋ,adj. 主要的；专横的；独裁的 动词dominate的现在分词形式.
male-dominated,'meɪld'ɒmɪneɪtɪd,adj. 男人主宰的
female-dominated,'fiːmeɪl'-dɔmineitid,adj.女权的；女子主宰的；女子控制的
republican-dominated,rɪ'pʌblɪk(ə)n-'dɔmineitid,adj.共和党主导下的
white-dominated,'hwait'dɔmineitid,adj.白人支配的
Shiite-dominated,'ʃi:ait-'dɔmineitid,adj.什叶派主导下的
Sunni-dominated,'sʊni-'dɔmineitid,adj. （伊斯兰）逊尼派主导下的
Tutsi-dominated,'tutsi-'dɔmineitid,adj.图西人主导下的
Serb-dominated,sə:b-'dɔmineitid,adj.塞尔维亚主导下的
Muslim-dominated,ˈmʊzlɪm-'dɔmineitid,adj.穆斯林主导下的
dominatrix,ˌdɒmɪ'neɪtrɪks,n. 女性施虐狂；母夜叉
domineer,ˌdɒmɪ'nɪə,v. 擅权；作威作福
domineering,ˌdɒmɪ'nɪərɪŋ,adj. 专横的；作威作福的
dominance,'dɒmɪnəns,n. 支配；控制；统治；优势；【生】优势度，显性
dominant,'dɒmɪnənt,adj. 主要的；占优势的；显性的 n. 主宰者；显性基因
dominantly,'dɒmɪnənt,adj. 主要的；占优势的；显性的 n. 主宰者；显性基因
non-dominant,nɔn-'dɒmɪnənt,adj.非主导的；非主流的
once-dominant,wʌns-'dɒmɪnənt,adj.曾经主导下的
predominant,prɪ'dɒmɪnənt,adj. 主要的；占优势的；显著的
predominantly,prɪ'dɒmɪnəntli,adv. 主要地；占优势地；压倒性地
predominance,prɪ'dɒmɪnəns,n. 优势；主导地位
predominate,prɪ'dɒmɪneɪt,v. 占优势；支配
predominant,prɪ'dɒmɪnənt,adj. 主要的；占优势的；显著的
predominance,prɪ'dɒmɪnəns,n. 优势；主导地位
dominion,də'mɪniən,n. 统治；主权；领土 Domimion：. n. 英联邦的自治领土
condominium,ˌkɒndə'mɪnɪəm,n. （独立产权的）公寓；共管；国际共管
dome,dəʊm,n. 圆屋顶；苍穹；脑袋；圆形的火山口 vt. 加圆屋顶于...上；使成圆屋顶 vi. 成圆顶状
domed,dəʊmd,adj. 圆屋顶的；半球形的；拱曲的 动词dome的过去式和过去分词形式.
domain,də'meɪn,n. 领地；领域；范围
semidome,'semɪdəʊm,n. 半圆形屋顶
majordomo,'meɪdʒə'dəʊməʊ,n. 管家；总监；大管家
indomitable,ɪn'dɒmɪtəbl,adj. 不屈不挠的
domicile,'dɒmɪsaɪl,n. 住所；住宅
dome-shaped,'dəʊmʃ'eɪpt,n. 圆顶状
domestic,də'mestɪk,adj. 家庭的；国内的；驯养的 n. 佣人；家仆
domesticity,ˌdəʊme'stɪsəti,n. (喜欢)家庭生活；顾家
domestically,də'mestɪkli,adv. 家庭式地；国内地
domesticate,də'mestɪkeɪt,vt. 驯养；使专注于家务；教化 n. 家禽；(家养)植物
domestication,dəˌmestɪ'keɪʃn,n. 驯服；教化
domesticated,dəʊ'mestɪkeɪtɪd,adj. 喜欢家庭生活的；驯服的；驯养的 动词domesticate的过去式和过去分词形式.
undomesticated,'ʌndə'mestɪkeɪtɪd,adj. 不爱做家务的；不习惯家庭生活的；未驯服的(动物)
domestic-policy,də'mestɪk-'pɒləsɪ,n.国内政策
domestic-violence,də'mestɪk-'vaɪəl(ə)ns,n.家庭暴力
danger,'deɪndʒə(r),n. 【U】危险 n. 【C】危险物（或人）；威胁
endanger,ɪn'deɪndʒə(r),vt. 危及；危害
endangered,ɪn'deɪndʒəd,adj. 濒于灭绝的 动词endanger的过去式和过去分词.
kingdom,'kɪŋdəm,n. 王国；领域；界 Kingdom：天国.
freedom,'friːdəm,n. 自由；直率；特许，特权
dominus,'dɔminəs,n.上帝
domino,'dɒmɪnəʊ,n. 多米诺骨牌
Dominican,də'mɪnɪkən,adj. 多米尼加的；多米尼加人的 n. 多米尼加人

grat,grac,gree|感谢
grateful,'ɡreɪtfl,adj. 感激的；令人愉快的
gratefulness,'ɡreɪtfl,adj. 感激的；令人愉快的
gratefully,'ɡreɪtfəli,adv. 感激地
ungrateful,ʌn'ɡreɪtfl,adj. 忘恩负义的；不领情的
gratify,'ɡrætɪfaɪ,v. 使满足；使高兴
gratification,ˌɡrætɪfɪ'keɪʃn,n. 满足；喜悦
gratified,'ɡrætɪfaɪ,v. 使满足；使高兴
gratifying,'ɡrætɪfaɪɪŋ,adj. 可喜的；令人满足的 动词gratify的现在分词形式.
gratifyingly,'ɡrætɪfaɪ,v. 使满足；使高兴
self-gratification,'selfɡrætɪfɪk'eɪʃn,n. 自我满足
congratulate,kən'grætjʊˌleɪt,vt. 祝贺；庆祝
congratulation,kənˌgrætjʊ'leɪʃən,n. 祝贺；恭喜
congratulations,kənˌgrætjʊ'leɪʃənz,n. 祝贺；贺词
congratulatory,kən'grætjʊlətərɪ,adj. 庆祝的；祝贺的
self-congratulation,'selfkən,ɡrætju'leiʃən,自得
self-congratulatory,selfkən'ɡrætjulətəri,adj. 自我庆幸的；自满的；自鸣得意的
grace,ɡreɪs,n. 优美；优雅；恩惠 vt. 使优美；使荣耀
gracious,'ɡreɪʃəs,adj. 亲切的；高尚的；仁慈的；和蔼的；优雅的
graciously,'ɡreɪʃəsli,adv. 仁慈地；和蔼庄重地
graciousness,'ɡreɪʃəsnəs,n. 亲切；和蔼
ungracious,ʌn'ɡreɪʃəs,adj. 没有教养的；无礼貌的；不受欢迎的；不被接受的
ungraciously,ʌn'ɡreɪʃəsli,adv. 不礼貌地；没教养地
graceful,'ɡreɪsfl,adj. 优雅的；得体的
gracefully,'ɡreɪsfəli,adv. 优美地；斯文地
ungraceful,'ʌn'greɪsfəl,adj. 不优美的；下流的；无礼貌的
gracefulness,'ɡreɪsflnəs,n. 优美
graceless,'ɡreɪsləs,adj. 不优雅的；不优美的；粗鲁的
gracelessly,'ɡreɪsləsli,adv. 不优美地；笨拙地
disgrace,dɪs'ɡreɪs,n. 耻辱 v. 耻辱；丢脸
disgraced,dɪs'ɡreɪs,n. 耻辱 v. 耻辱；丢脸
disgraceful,dɪs'ɡreɪsfl,adj. 可耻的；不光彩的
disgracefully,dɪs'ɡreɪsfəli,adv. 不名誉地
gratis,'ɡrætɪs,adj. 免费的 adv. 免费地
gratuity,ɡrə'tjuːəti,n. 小费；赠物；赏钱
gratuitous,ɡrə'tjuːɪtəs,adj. 无缘无故的；无必要的；免费的
gratuitously,ɡrə'tjuːɪtəsli,adv. 无偿地；无故地；无端地
gratuitousness,ɡrə'tjuːɪtəs,adj. 无缘无故的；无必要的；免费的
ingratiate,ɪn'ɡreɪʃieɪt,v. 取悦；迎合；讨好
ingratiating,ɪn'ɡreɪʃieɪtɪŋ,adj. 讨好的；奉承的
gratitude,'ɡrætɪtjuːd,n. 感激；感谢；感恩
ingrate,ɪn'greɪt,adj. 忘恩的；忘恩负义的 n. 忘恩负义的人
ingratitude,ɪn'ɡrætɪtjuːd,n. 忘恩负义
agree,ə'ɡriː,v. 同意；赞成；承认；符合；一致
agreed,ə'griːd,adj. 同意的；商定的 动词agree的过去式和过去分词.
agreement,ə'ɡriːmənt,n. 同意；一致；协议
agreeable,ə'ɡriːəbl,adj. 愉快的；和蔼可亲的；欣然同意的；一致的
agreeably,ə'ɡriːəbli,adv. 欣然；依照
agreeableness,ə'grɪəblnəs,n. 适宜；可同意；适合；合意
agreed-on,əɡ'riːd'ən,adj. 约定的；同意的
agreed-upon,əɡ'riːdʌp'ɒn,adj. 商定的；一致同意的
disagree,ˌdɪsə'ɡriː,v. 不同意；不一致；有分歧；不适应；不适宜
disagreement,ˌdɪsə'ɡriːmənt,n. 不合；争论；不一致
disagreeable,ˌdɪsə'ɡriːəbl,adj. 不愉快的；厌恶的；不为人喜的
disagreeably,ˌdɪsə'ɡriːəbli,adv. 不愉快地；不合口味地

phon,phem,fam,phet,fat|
phone,fəʊn,n. 电话；电话机；听筒；耳机；[语]音素 v. 打电话 suf. 表示“声音”或“说 ... 语言的人”
phonic,'fɒnɪk,adj. 声音的；语音的；有声的
phonics,'fɒnɪks,n. 声学；声音基础教学法
phoneme,'fəʊniːm,n. 音位；音素
phonemic,fə'niːmɪk,adj. 音位的；音素的
phonon,'fəʊnɒn,n. [物]声子(声音或振动能的量子)
phonebook,'fəʊnbʊk,n. 电话簿
phone-in,'fəunin,n. 〈广播、电视〉听众热线电话直播节目
phone-sex,fəun-seks,n.电话性爱；色情电话服务
phone-line,fəun-laɪn,n. [ 通信 ]电话线
phone-company,fəun-'kʌmp(ə)nɪ,n.电话公司
polyphone,'pɒlɪfəʊn,n. 多音字；自动换片唱机之一种
polyphony,pə'lɪfəni,n. 复调音乐；对位法
polyphonic,ˌpɒli'fɒnɪk,adj. [语]多音的；[音]有韵律变化的；复调的 =polyphonous.
phonology,fə'nɒlədʒi,n. 音韵学；音系学
telephone,'telɪfəʊn,n. 电话 v. 打电话
telephonic,ˌtelɪ'fɒnɪk,adj. 电的；用电话的
telephony,tə'lefəni,n. 电话技术；电话通讯
cellphone,'selfəʊn,n. 手机；便携无线电话
symphony,'sɪmfəni,n. 交响乐
symphonic,sɪm'fɒnɪk,adj. 交响乐的；交响乐似的；和音的
microphone,'maɪkrəfəʊn,n. 麦克风；扩音器
megaphone,'meɡəfəʊn,n. 扩音器 v. (用扩音器)传达
saxophone,'sæksəfəʊn,n. 萨克斯管
saxophonist,sæk'sɒfənɪst,n. 萨克斯管吹奏者
gramophone,'ɡræməfəʊn,n. 留声机；唱机
electrophone,e'lektrəfəʊn,n. 有线广播(送受话器；电子乐器)
stereophone,'stɪərɪəfəʊn,立体声耳机
gramophone,'ɡræməfəʊn,n. 留声机；唱机
videophone,'vɪdiəʊfəʊn,n. 可视电话
headphone,'hedfəʊn,n. 头戴式收话器；双耳式耳机，耳机（常用复数）
earphone,'ɪəfəʊn,n. 耳机；听筒
speakerphone,'spiːkəfəʊn,n. 喇叭扩音器
otophone,'əʊtəfəʊn,n. 助听器(奥多风)
phonetic,fə'netɪk,adj. 语音的；语音学的
phonetics,fə'netɪks,n. 语音学
phonetist,'fəʊnətɪst,n. 语音学者；主张使用语音记号者
phonetically,fə'netɪkli,adv. 按照发音地；语音学上
euphonious,juː'fəʊniəs,adj. 悦耳的
cacophony,kə'kɒfəni,n. 刺耳的声音；杂音
cacophonous,kə'kɒfənəs,adj. 声音不和谐的；刺耳的
anglophone,'æŋɡləʊfəʊn,adj. 说英语的 n. (母语)说英语者
aphonia,æ'fəʊnjə,n. 失声；无声；失音症
dysphonia,dɪs'fəʊnɪə,n. 发声困难；言语障碍
iphone,'aɪfon,n. 美国苹果公司2007年夏天推出的智能手机；据称选用iPhone作为手机名称是为了利用苹果Mp3播放器iPod在国际的知名度
francophone,'fræŋkəfəʊn,n. (尤指在使用两种或多种语言国度里的)操法语者；讲法语的(当地)人 adj. 讲法语的
xylophone,'zaɪləfəʊn,n. 木琴
sousaphone,'suːzəfəʊn,n. 低音喇叭
interphone,'ɪntəˌfəʊn,n. 对讲机
payphone,'peɪfəʊn,n. 付费电话
cellular-phone,'seljʊlərf'əʊn,n. 移动电话
dysphonia,dɪs'fəʊnɪə,n. 发声困难；言语障碍
vibraphone,'vaɪbrəfəʊn,n. 电颤琴；铁琴
hydrophone,'haɪdrəfəʊn,n. 水中听音器；检漏器；水诊器
stereophonic,ˌsteriə'fɒnɪk,adj. 立体声的；立体效果的
homophony,həʊ'mɒfənɪ,n. 同音异义；同音；同音歌唱
fame,feɪm,n. 名声；名望 vt. 使出名
famed,feɪmd,adj. 著名的 动词fame的过去式和过去分词形式.
famous,'feɪməs,adj. 著名的；有名的
famously,'feɪməsli,adv. 著名地；极好地
infamous,'ɪnfəməs,adj. 无耻的；臭名昭著的
infamously,'ɪnfəməslɪ,adv. 不名誉地
infamy,'ɪnfəmi,n. 声名狼藉；臭名；丑行
infamize,'ɪnfəmaɪz,vt. 使声名狼藉
world-famous,wɜːld 'feɪməs,adj. 世界闻名的
defame,dɪ'feɪm,vt. 诽谤；中伤；损毁名誉
defamation,ˌdefə'meɪʃn,n. 诽谤；中伤
defamatory,dɪ'fæmətri,adj. 诽谤的
anti-defamation,æntɪ,defə'meɪʃ(ə)n,n.反中伤
morpheme,'mɔːfiːm,n. 词素；形态素
euphemism,'juːfəmɪzəm,n. 委婉语
euphemistic,ˌjuːfə'mɪstɪk,adj. 委婉的；婉言的
euphemistically,ˌjuːfə'mɪstɪkli,adv. 婉转地
blaspheme,blæs'fiːm,v. 诽谤；亵渎；辱骂
blasphemy,'blæsfəmi,n. 亵渎神明；亵渎神明的言词
blasphemer,blæs'fiːmə(r),n. 亵渎者；辱骂者
blasphemous,'blæsfəməs,adj. 亵渎神明的
prophet,'prɒfɪt,n. 预言者；先知
prophetic,prə'fetɪk,adj. 预言的；先知的；预示的
prophetically,prə'fetɪkli,adv. 预言性地
prophetess,'prɒfɪtes,n. 女先知；女预言家
fate,feɪt,n. 命运；宿命
fated,'feɪtɪd,adj. 命中注定的 动词fate的过去式和过去分词.
fatal,'feɪtl,adj. 致命的；毁灭性的；决定性的
fatally,'feɪtəli,adv. 致命地；不幸地；宿命地
fatality,fə'tæləti,n. 死亡；灾祸；天命；致命性
fateful,'feɪtfl,adj. 宿命的；重大的；决定性的
fatefully,'feɪtfʊlɪ,adv. 宿命地；决定性地
fatalistic,ˌfeɪtə'lɪstɪk,adj. 宿命论的
fatalism,'feɪtəlɪzəm,n. 宿命论
ill-fated,'il'feitid,adj. 注定要倒霉的；苦命的；不幸的
non-fatal,nɒn'feɪt(ə)l,adj. 非致命的
near-fatal,nɪə-feɪt(ə)l,adj.几乎致命的
prefatory,'prefətri,adj. 前言的；序文的

ball(o),balo,bol(o)(a) (e)|抛 ,舞 ,球
ball,bɔːl,n. 球；球状物；炮弹；舞会；愉快的经历；胆量；胡说；（复）睾丸 v. 使成球状；呈球状；性交
ballsy,'bɔːlzi,adj.  有胆量的
ball-field,bɔːl-fiːld,n.球场
ball-club,bɔːl-klʌb,n. [ 美国口语 ] ( 职业或业余的 ) 正式棒球队，足球队，橄榄球队，篮球队； ( 棒球、足球、
橄榄球、篮球等职业或业余的)球队俱乐部；,口语,( 尤指职业球队俱乐部的 ) 队员、教
ballroom,'bɔːlruːm,n. 舞厅
ballpark,'bɔːlpɑːk,n. 棒球场；变动范围
ballad,'bæləd,n. 歌谣；诗歌；谣曲
ballistic,bə'lɪstɪk,adj. 弹道的；（突然地）激动、沮丧或者生气的
ballistics,bə'lɪstɪks,n. 弹道学；发射学
ballistically,bə'lɪstɪklɪ,弹道学地
ballplayer,'bɔːlˌpleɪə,棒球手
ballerina,ˌbælə'riːnə,n. 芭蕾舞女演员
ballgame,'bɔːlgeɪm,n.  棒球运动； 球类活动
ballpoint,'bɔːlpɔɪnt,n. 圆珠笔(=ballpoint pen)
balled-up,'bɔ:ld,ʌp,adj. [ 美国俚语 ] 被堵塞的；受阻碍的；一筹莫展的，处境艰难的
ball-carrier,'bɔ:l'kærɪə,n.持球前进的队员
ball-handling,'bɔ:l-'hændlɪŋ,n.控制球
ball-bearing,'bɔːlb'eərɪŋ,滚珠轴承
ballhandler,'bɔ:l,hændlə,n.
